name,updated_name,dataset,image_size,image_size_rat,image_size_cat,param_count,size,architecture,technique,dataset-size,imagenet-zeroshot-val-top1,imagenetv2-zeroshot-val-top1,imagenets-zeroshot-val-top1,imagenetr-zeroshot-val-top1,imageneta-zeroshot-val-top1,imagenet-average-robustness,imagenet-effective-robustness,in100-zeroshot-val-top1,in100v2-zeroshot-val-top1,in100s-zeroshot-val-top1,in100r-zeroshot-val-top1,in100a-zeroshot-val-top1,in100-average-robustness,in100-effective-robustness,in100-dogs-zeroshot-val-top1,in100-dogs-v2-zeroshot-val-top1,in100-dogs-s-zeroshot-val-top1,in100-dogs-r-zeroshot-val-top1,in100-dogs-a-zeroshot-val-top1,in100-dogs-average-robustness,in100-dogs-effective-robustness
edgenext_xx_small,edgenext_xx_small,in1k,288,0.36,M,1.33,S,Convolution,Conventional,1200000,0.747,0.626,0.219,0.341,0.038,0.306,0.41,0.9042,0.812,0.3657289,0.334284808,0.171767645,0.421,0.466,0.7278,0.545,0.283661417,0.527852478,0.431818182,0.447,0.614
efficientnet_b0,efficientnet_b0.ra_in1k,in1k,224,0.28,S,5.29,S,Convolution,Conventional,1200000,0.778,0.661,0.258,0.381,0.072,0.343,0.441,0.9398,0.865,0.422781822,0.397082144,0.243597751,0.482,0.513,0.7964,0.619,0.360629921,0.605071072,0.443181818,0.507,0.637
efficientnet_b1,efficientnet_b1.ft_in1k,in1k,256,0.32,M,7.79,S,Convolution,Conventional,1200000,0.788,0.673,0.274,0.396,0.1,0.361,0.458,0.9448,0.879,0.442651977,0.411037108,0.239850094,0.493,0.522,0.806,0.639,0.36988189,0.603918556,0.477272727,0.523,0.649
efficientnet_b2,efficientnet_b2.ra_in1k,in1k,288,0.36,M,9.11,S,Convolution,Conventional,1200000,0.802,0.689,0.294,0.415,0.144,0.386,0.481,0.9462,0.88,0.491442062,0.441325722,0.267957527,0.52,0.55,0.8052,0.624,0.408070866,0.645793315,0.375,0.513,0.637
efficientnet_b3,efficientnet_b3.ra2_in1k,in1k,320,0.4,M,12.23,S,Convolution,Conventional,1200000,0.816,0.708,0.316,0.441,0.232,0.424,0.52,0.9494,0.889,0.53433012,0.486520774,0.297938788,0.552,0.581,0.8004,0.638,0.445472441,0.684594698,0.545454545,0.578,0.722
efficientnet_b4,efficientnet_b4.ra2_in1k,in1k,384,0.48,M,19.34,S,Convolution,Conventional,1200000,0.828,0.723,0.344,0.468,0.308,0.461,0.557,0.9508,0.892,0.588628763,0.511893435,0.32792005,0.58,0.61,0.809,0.636,0.46476378,0.722627737,0.5,0.581,0.718
efficientnet_el,efficientnet_el.ra_in1k,in1k,300,0.375,M,10.59,S,Convolution,Conventional,1200000,0.809,0.697,0.305,0.428,0.173,0.401,0.496,0.9484,0.88,0.491638796,0.45623216,0.269206746,0.524,0.553,0.8152,0.647,0.428149606,0.65578179,0.465909091,0.549,0.673
efficientnet_el_pruned,efficientnet_el_pruned.in1k,in1k,300,0.375,M,10.59,S,Convolution,Conventional,1200000,0.802,0.689,0.295,0.415,0.145,0.386,0.481,0.9428,0.877,0.476490262,0.440691405,0.243597751,0.509,0.54,0.8016,0.636,0.398818898,0.624279677,0.5,0.54,0.674
efficientnet_em,efficientnet_em.ra2_in1k,in1k,240,0.3,M,6.9,S,Convolution,Conventional,1200000,0.797,0.683,0.287,0.407,0.124,0.375,0.471,0.948,0.896,0.490458391,0.452109102,0.286695815,0.531,0.56,0.8036,0.646,0.415354331,0.655397618,0.477272727,0.549,0.683
efficientnet_es,efficientnet_es.ra_in1k,in1k,224,0.28,S,5.44,S,Convolution,Conventional,1200000,0.775,0.657,0.255,0.375,0.067,0.339,0.437,0.9454,0.876,0.450324611,0.425784967,0.24547158,0.499,0.528,0.8032,0.639,0.394094488,0.6212063,0.454545455,0.527,0.656
efficientnet_es_pruned,efficientnet_es_pruned.in1k,in1k,224,0.28,S,5.44,S,Convolution,Conventional,1200000,0.753,0.631,0.227,0.35,0.042,0.313,0.416,0.929,0.852,0.427503443,0.400729464,0.191755153,0.468,0.504,0.7702,0.616,0.346456693,0.596235113,0.386363636,0.486,0.631
efficientnet_lite0,efficientnet_lite0.ra_in1k,in1k,224,0.28,S,4.65,S,Convolution,Conventional,1200000,0.739,0.619,0.215,0.335,0.033,0.301,0.407,0.9326,0.863,0.421798151,0.40326673,0.18113679,0.467,0.501,0.7774,0.585,0.347047244,0.59200922,0.5,0.506,0.651
efficientnetv2_rw_m,efficientnetv2_rw_m.agc_in1k,in1k,416,0.52,L,53.24,M,Convolution,Conventional,1200000,0.848,0.746,0.397,0.529,0.463,0.534,0.63,0.9592,0.917,0.622073579,0.553599746,0.380387258,0.618,0.644,0.8336,0.684,0.510433071,0.759892432,0.625,0.645,0.774
efficientnetv2_rw_s,efficientnetv2_rw_s.ra2_in1k,in1k,384,0.48,M,23.94,S,Convolution,Conventional,1200000,0.837,0.733,0.362,0.487,0.368,0.488,0.583,0.9604,0.915,0.581939799,0.509514748,0.368519675,0.594,0.618,0.8276,0.641,0.48484252,0.73953131,0.590909091,0.614,0.742
efficientnetv2_rw_t,efficientnetv2_rw_t.ra2_in1k,in1k,288,0.36,M,13.65,S,Convolution,Conventional,1200000,0.82,0.71,0.324,0.449,0.243,0.432,0.527,0.9606,0.908,0.53806807,0.478750396,0.353529044,0.57,0.593,0.8272,0.663,0.46023622,0.717249328,0.659090909,0.625,0.756
ens_adv_inception_resnet_v2,ens_adv_inception_resnet_v2,in1k,299,0.37375,M,55.84,M,Convolution,Conventional,1200000,0.804,0.694,0.3,0.422,0.162,0.395,0.491,0.9208,0.839,0.43438914,0.429432287,0.207370394,0.478,0.519,0.7516,0.583,0.411023622,0.666538609,0.443181818,0.526,0.7
ese_vovnet19b_dw,ese_vovnet19b_dw,in1k,224,0.28,S,6.54,S,Convolution,Conventional,1200000,0.775,0.658,0.255,0.375,0.067,0.339,0.437,0.9424,0.868,0.417273264,0.39961941,0.232354778,0.479,0.508,0.7894,0.623,0.351968504,0.579715713,0.465909091,0.505,0.64
ese_vovnet39b,ese_vovnet39b,in1k,224,0.28,S,24.57,S,Convolution,Conventional,1200000,0.799,0.687,0.291,0.411,0.133,0.381,0.477,0.9558,0.89,0.49931143,0.434823977,0.302311056,0.532,0.557,0.8124,0.644,0.422440945,0.657318479,0.522727273,0.562,0.692
fbnetc_100,fbnetc_100.rmsp_in1k,in1k,224,0.28,S,5.57,S,Convolution,Conventional,1200000,0.753,0.631,0.227,0.349,0.041,0.312,0.414,0.932,0.847,0.386976195,0.388518871,0.191130543,0.453,0.486,0.7862,0.588,0.330708661,0.57011141,0.352272727,0.46,0.585
fbnetv3_b,fbnetv3_b.ra2_in1k,in1k,256,0.32,M,8.6,S,Convolution,Conventional,1200000,0.795,0.682,0.286,0.405,0.117,0.373,0.469,0.9512,0.891,0.471375172,0.438788455,0.292317302,0.523,0.55,0.799,0.63,0.387598425,0.632731464,0.579545455,0.557,0.697
fbnetv3_d,fbnetv3_d.ra2_in1k,in1k,256,0.32,M,10.31,S,Convolution,Conventional,1200000,0.802,0.688,0.294,0.415,0.141,0.385,0.48,0.9504,0.89,0.483769428,0.444814462,0.309806371,0.532,0.56,0.8014,0.637,0.389173228,0.645024971,0.465909091,0.534,0.666
fbnetv3_g,fbnetv3_g.ra2_in1k,in1k,288,0.36,M,16.62,S,Convolution,Conventional,1200000,0.823,0.713,0.33,0.455,0.261,0.44,0.535,0.9582,0.902,0.52547708,0.476371709,0.359775141,0.566,0.591,0.8234,0.637,0.432480315,0.673069535,0.613636364,0.589,0.715
gc_efficientnetv2_rw_t,gc_efficientnetv2_rw_t.agc_in1k,in1k,288,0.36,M,13.68,S,Convolution,Conventional,1200000,0.821,0.711,0.327,0.452,0.251,0.435,0.53,0.962,0.917,0.545347236,0.479384713,0.356652092,0.575,0.598,0.8294,0.665,0.455511811,0.705724164,0.613636364,0.61,0.735
gcresnet33ts,gcresnet33ts,in1k,256,0.32,M,19.88,S,Convolution,Conventional,1200000,0.801,0.687,0.293,0.413,0.138,0.383,0.478,0.9532,0.896,0.463505804,0.436885506,0.292941911,0.522,0.548,0.8178,0.641,0.395472441,0.621974645,0.556818182,0.554,0.677
gcresnet50t,gcresnet50t,in1k,256,0.32,M,25.9,S,Convolution,Conventional,1200000,0.805,0.694,0.3,0.423,0.164,0.395,0.491,0.9542,0.893,0.498131025,0.453536315,0.301686446,0.537,0.563,0.8192,0.653,0.425787402,0.671148675,0.5,0.562,0.686
gcresnext26ts,gcresnext26ts,in1k,256,0.32,M,10.48,S,Convolution,Conventional,1200000,0.784,0.668,0.267,0.39,0.087,0.353,0.45,0.9412,0.877,0.427306709,0.394544878,0.21299188,0.478,0.508,0.7998,0.608,0.368700787,0.586246638,0.522727273,0.521,0.651
gcresnext50ts,gcresnext50ts,in1k,256,0.32,M,15.67,S,Convolution,Conventional,1200000,0.805,0.694,0.3,0.422,0.162,0.395,0.491,0.9522,0.893,0.474916388,0.44893752,0.284821986,0.525,0.551,0.825,0.637,0.420472441,0.643104111,0.556818182,0.564,0.684
gcvit_small.in1k,gcvit_small.in1k,in1k,224,0.28,S,51,S,ViT,Conventional,1200000,0.863,0.693,0.481,0.713,0.67,0.639,0.74,0.97,0.923,0.553,0.491,0.559,0.632,0.652,0.84,0.733,0.367,0.486,0.365,0.488,0.581
gcvit_tiny.in1k,gcvit_tiny.in1k,in1k,224,0.28,S,28,S,ViT,Conventional,1200000,0.856,0.698,0.456,0.687,0.693,0.634,0.741,0.968,0.919,0.528,0.485,0.503,0.609,0.629,0.833,0.728,0.35,0.47,0.311,0.465,0.558
gernet_l,gernet_l,in1k,256,0.32,M,31.08,S,Convolution,Conventional,1200000,0.805,0.694,0.3,0.423,0.163,0.395,0.491,0.957,0.904,0.49557348,0.454804948,0.292317302,0.537,0.561,0.8192,0.645,0.434251969,0.66845947,0.465909091,0.553,0.675
gernet_m,gernet_m,in1k,224,0.28,S,21.14,S,Convolution,Conventional,1200000,0.801,0.688,0.294,0.414,0.141,0.384,0.479,0.9588,0.901,0.507967736,0.489692356,0.317301686,0.554,0.578,0.8302,0.653,0.431889764,0.676527084,0.545454545,0.577,0.695
gernet_s,gernet_s,in1k,224,0.28,S,8.17,S,Convolution,Conventional,1200000,0.766,0.644,0.244,0.363,0.053,0.326,0.426,0.9416,0.881,0.467243754,0.44703457,0.209244222,0.501,0.532,0.7878,0.612,0.402559055,0.658855167,0.522727273,0.549,0.697
ghostnet_100,ghostnet_100,in1k,224,0.28,S,5.18,S,Convolution,Conventional,1200000,0.737,0.615,0.214,0.335,0.032,0.299,0.406,0.9248,0.832,0.410584301,0.380589914,0.194878201,0.455,0.492,0.7594,0.575,0.323031496,0.561659624,0.397727273,0.464,0.611
gluon_inception_v3,gluon_inception_v3,in1k,299,0.37375,M,23.83,S,Convolution,Conventional,1200000,0.797,0.684,0.289,0.408,0.126,0.377,0.473,0.9258,0.845,0.44698013,0.422454805,0.181761399,0.474,0.512,0.7598,0.589,0.394094488,0.648866692,0.465909091,0.524,0.69
gluon_resnet101_v1b,gluon_resnet101_v1b,in1k,224,0.28,S,44.55,S,Convolution,Conventional,1200000,0.778,0.661,0.258,0.381,0.072,0.343,0.441,0.9472,0.899,0.468817627,0.431176657,0.24609619,0.511,0.539,0.8252,0.647,0.418700787,0.638878217,0.477272727,0.545,0.66
gluon_resnet101_v1c,gluon_resnet101_v1c,in1k,224,0.28,S,44.57,S,Convolution,Conventional,1200000,0.78,0.664,0.262,0.386,0.08,0.348,0.446,0.9502,0.89,0.464686209,0.431493815,0.24547158,0.508,0.535,0.8214,0.635,0.395472441,0.620437956,0.454545455,0.526,0.64
gluon_resnet101_v1d,gluon_resnet101_v1d,in1k,224,0.28,S,44.57,S,Convolution,Conventional,1200000,0.799,0.685,0.29,0.41,0.132,0.379,0.474,0.9532,0.913,0.459374385,0.460038059,0.299188007,0.533,0.559,0.8282,0.647,0.427755906,0.666538609,0.579545455,0.58,0.7
gluon_resnet101_v1s,gluon_resnet101_v1s,in1k,224,0.28,S,44.67,S,Convolution,Conventional,1200000,0.796,0.682,0.286,0.406,0.119,0.373,0.469,0.9592,0.906,0.497540822,0.458769426,0.279825109,0.536,0.559,0.8306,0.663,0.434251969,0.682289666,0.625,0.601,0.724
gluon_resnet152_v1b,gluon_resnet152_v1b,in1k,224,0.28,S,60.19,M,Convolution,Conventional,1200000,0.788,0.672,0.273,0.396,0.097,0.36,0.457,0.953,0.899,0.489868188,0.460513796,0.24609619,0.524,0.55,0.823,0.669,0.420275591,0.658086823,0.534090909,0.57,0.693
gluon_resnet152_v1c,gluon_resnet152_v1c,in1k,224,0.28,S,60.21,M,Convolution,Conventional,1200000,0.793,0.678,0.283,0.403,0.111,0.369,0.465,0.9542,0.908,0.494983278,0.460830955,0.265459088,0.532,0.558,0.8296,0.671,0.43523622,0.666538609,0.454545455,0.557,0.671
gluon_resnet152_v1d,gluon_resnet152_v1d,in1k,224,0.28,S,60.21,M,Convolution,Conventional,1200000,0.806,0.695,0.303,0.426,0.166,0.398,0.494,0.9566,0.91,0.50678733,0.468601332,0.312304809,0.549,0.574,0.8394,0.681,0.459448819,0.696504034,0.511363636,0.587,0.699
gluon_resnet152_v1s,gluon_resnet152_v1s,in1k,224,0.28,S,60.32,M,Convolution,Conventional,1200000,0.805,0.695,0.302,0.425,0.166,0.397,0.493,0.9622,0.908,0.501672241,0.456549318,0.304809494,0.543,0.564,0.8338,0.669,0.448622047,0.696119862,0.590909091,0.601,0.721
gluon_resnet18_v1b,gluon_resnet18_v1b,in1k,224,0.28,S,11.69,S,Convolution,Conventional,1200000,0.657,0.522,0.147,0.262,0.015,0.237,0.361,0.9096,0.82,0.410190832,0.370123692,0.128044972,0.432,0.475,0.7464,0.577,0.313188976,0.593930081,0.340909091,0.456,0.611
